,OD,delta_OD,mean_Temperature (C),mean_pH,mean_Dissolved Oxygen,mean_Light Intensity (μmol photons m² s⁻¹),std_Temperature (C),std_pH,std_Dissolved Oxygen,std_Light Intensity (μmol photons m² s⁻¹),min_Temperature (C),min_pH,min_Dissolved Oxygen,min_Light Intensity (μmol photons m² s⁻¹),max_Temperature (C),max_pH,max_Dissolved Oxygen,max_Light Intensity (μmol photons m² s⁻¹),median_Temperature (C),median_pH,median_Dissolved Oxygen,median_Light Intensity (μmol photons m² s⁻¹),slope_Temperature (C),slope_pH,slope_Dissolved Oxygen,slope_Light Intensity (μmol photons m² s⁻¹),first_last_diff_Temperature (C),first_last_diff_pH,first_last_diff_Dissolved Oxygen,first_last_diff_Light Intensity (μmol photons m² s⁻¹)
3872,0.010774651457103402,-0.004198021861425403,20.55638082556591,7.241244207723036,0.0,120.0,3.0737742083150104,0.03767587795711774,0.0,0.0,13.58,7.192,0.0,120.0,24.84,7.336,0.0,120.0,21.1,7.23,0.0,120.0,0.002791987367124655,-3.363271063678911e-05,0.0,0.0,11.26,-0.13899999999999935,0.0,0.0
7637,0.009114567291508932,-0.0016600841655944696,26.68197609561753,7.193545019920319,0.0,73.05179282868527,0.8692639370191735,0.005208654285857506,0.0,58.570998589489946,24.85,7.183,0.0,0.0,27.87,7.206,0.0,120.0,26.85,7.193,0.0,120.0,0.0007881070324613943,2.878549872864638e-06,0.0,-0.045546493305497,3.009999999999998,0.01100000000000012,0.0,-120.0
11400,0.006383391842326714,-0.002731175449182218,28.279651873505177,7.213709274515014,0.0,0.0,0.19192749325533295,0.005495586802221508,0.0,0.0,27.86,7.202,0.0,0.0,28.54,7.229,0.0,0.0,28.32,7.213,0.0,0.0,0.0001731491300570521,4.826263246237829e-06,0.0,0.0,0.6600000000000001,0.02200000000000024,0.0,0.0
15162,0.0048174789069423424,-0.0015659129353843716,28.6314673046252,7.23744976076555,0.0,0.0,0.05375627311629432,0.00692714786199281,0.0,0.0,28.51,7.223,0.0,0.0,28.71,7.251,0.0,0.0,28.64,7.238,0.0,0.0,4.818056222083189e-05,6.228281483403356e-06,0.0,0.0,0.16000000000000014,0.022999999999999687,0.0,0.0
18925,0.0032185781443944588,-0.0015989007625478837,28.716656922668083,7.2590608557002385,0.0,0.0,0.01770260621087245,0.006062694425863322,0.0,0.0,28.67,7.246,0.0,0.0,28.75,7.273,0.0,0.0,28.72,7.259,0.0,0.0,1.5494334606688515e-05,5.372321032935164e-06,0.0,0.0,0.03999999999999915,0.016000000000000014,0.0,0.0
22689,0.0027040568841977066,-0.0005145212601967522,28.748350159404886,7.27599202975558,0.0,0.0,0.01078692836351682,0.004544221577519452,0.0,0.0,28.71,7.266,0.0,0.0,28.77,7.286,0.0,0.0,28.75,7.275,0.0,0.0,8.850997329187902e-06,3.93386542595929e-06,0.0,0.0,0.030000000000001137,0.015000000000000568,0.0,0.0
26454,0.001997583990511427,-0.0007064728936862796,28.77046746347941,7.290121646746349,0.0,0.0,0.01302104550346264,0.003689758270846844,0.0,0.0,28.73,7.281,0.0,0.0,28.79,7.298,0.0,0.0,28.77,7.291,0.0,0.0,1.1210588670604912e-05,2.9912438908362125e-06,0.0,0.0,0.019999999999999574,0.009999999999999787,0.0,0.0
30215,0.0015486079535190042,-0.0004489760369924228,28.790428077638932,7.297751661792077,0.0,0.0,0.009746941623452516,0.0032613978579303423,0.0,0.0,28.76,7.289,0.0,0.0,28.81,7.306,0.0,0.0,28.79,7.297,0.0,0.0,7.689340717385658e-06,2.611857368103551e-06,0.0,0.0,0.019999999999999574,0.008999999999999453,0.0,0.0
33978,0.0012025718733176746,-0.0003460360802013296,28.80659845867659,7.303177517937816,0.0,0.0,0.011322213691509991,0.0024238217248246856,0.0,0.0,28.77,7.297,0.0,0.0,28.83,7.311,0.0,0.0,28.81,7.303,0.0,0.0,9.630974794944965e-06,1.507859209646405e-06,0.0,0.0,0.010000000000001563,0.006000000000000227,0.0,0.0
33979,0.0012025718733176746,0.0,28.8,7.308,0.0,0.0,,,,,28.8,7.308,0.0,0.0,28.8,7.308,0.0,0.0,28.8,7.308,0.0,0.0,,,,,,,,
37741,0.0007672145710432207,-0.0004353573022744539,28.824266347687395,7.308996544391281,0.0,0.0,0.010855767071333565,0.0021246051654452026,0.0,0.0,28.79,7.302,0.0,0.0,28.85,7.316,0.0,0.0,28.83,7.309,0.0,0.0,9.075270181771884e-06,1.092853620707811e-06,0.0,0.0,0.019999999999999574,0.0019999999999997797,0.0,0.0
41504,0.0008696123273450857,0.00010239775630186494,28.83513154398086,7.3117199043316505,0.0,0.0,0.00878912813951516,0.0013978394475386402,0.0,0.0,28.81,7.307,0.0,0.0,28.85,7.317,0.0,0.0,28.84,7.312,0.0,0.0,6.791023262928974e-06,-2.8571234367240266e-07,0.0,0.0,0.00999999999999801,0.001000000000000334,0.0,0.0
45266,0.00042180028046168844,-0.00044781204688339724,28.841190855927696,7.313249867091972,0.0,0.0,0.007932595684922092,0.0014552735277466211,0.0,0.0,28.81,7.309,0.0,0.0,28.85,7.319,0.0,0.0,28.84,7.313,0.0,0.0,5.7808871838211415e-06,1.0651264267024928e-07,0.0,0.0,0.0,-0.001000000000000334,0.0,0.0
49025,-0.0,-0.00042180028046168844,28.83949188613992,7.313909550412344,0.0,0.0,0.0063833851349901684,0.0016236712863244296,0.0,0.0,28.81,7.308,0.0,0.0,28.85,7.319,0.0,0.0,28.84,7.314,0.0,0.0,1.5835535416823264e-06,3.271888841210739e-07,0.0,0.0,-0.010000000000001563,0.001000000000000334,0.0,0.0
52782,0.0009464264917235881,0.0009464264917235881,28.756002129358535,7.3119055097151975,0.0,52.09475645461804,0.02480247839958256,0.0018523404264920147,0.0,59.48486322415226,28.71,7.306,0.0,0.0,28.81,7.318,0.0,120.0,28.75,7.312,0.0,0.0,-1.567477034060437e-05,-3.057759766152227e-07,0.0,0.04707888441719134,-0.0799999999999983,0.0019999999999997797,0.0,120.0
52783,0.0009464264917235881,0.0,28.73,7.314,0.0,120.0,,,,,28.73,7.314,0.0,120.0,28.73,7.314,0.0,120.0,28.73,7.314,0.0,120.0,,,,,,,,
56539,0.001817937873408712,0.000871511381685124,28.82837060702875,7.312761980830671,0.0,120.0,0.0500328204266405,0.0018211079917480595,0.0,0.0,28.71,7.308,0.0,120.0,28.91,7.32,0.0,120.0,28.83,7.313,0.0,120.0,4.5835870700284846e-05,-6.741406814717218e-07,0.0,0.0,0.14999999999999858,-0.001000000000000334,0.0,0.0
56540,0.001817937873408712,0.0,28.88,7.311,0.0,120.0,,,,,28.88,7.311,0.0,120.0,28.88,7.311,0.0,120.0,28.88,7.311,0.0,120.0,,,,,,,,
