Media,Sample,Day 0 Replicate #1,Day 0 Replicate #2,Day 1 Replicate #1,Day 1 Replicate #2,Day 2 Replicate #1,Day 2 Replicate #2,Day 3 Replicate #1,Day 3 Replicate #2,Day 4 Replicate #1,Day 4 Replicate #2,Day 5 Replicate #1,Day 5 Replicate #2,Day 6 Replicate #1,Day 6 Replicate #2
No Glucose,No Cyano 1,0.046,0.042,0.043,0.05,0.05,0.049,0.054,0.055,0.068,0.068,,,,
>No Glucose,Unfiltered Cyano 1,0.363,0.352,0.304,0.339,0.315,0.321,0.325,0.315,0.382,0.38,,,,
No Glucose,Filtered Cyano 1,0.043,0.044,0.044,0.043,0.044,0.043,0.177,0.148,0.197,0.235,,,,
No Glucose,No Cyano 2,0.055,,0.041,0.047,0.041,0.048,0.048,0.051,0.053,0.055,0.055,0.054,0.06,0.057
No Glucose,No Cyano 3,0.043,,0.04,0.047,0.042,0.043,0.048,0.048,0.053,0.05,0.053,0.052,0.054,0.056
No Glucose,No Cyano 4,0.042,,0.04,0.047,0.043,0.043,0.048,0.049,0.053,0.055,0.052,0.054,0.055,0.057
>No Glucose,Unfiltered Cyano 2,0.291,,0.356,0.352,0.395,0.436,0.528,0.523,0.331,0.373,0.29,0.28,0.319,0.31
>No Glucose,Unfiltered Cyano 3,0.409,,0.318,0.303,0.369,0.368,0.463,0.464,0.338,0.344,0.297,0.295,0.303,0.305
>No Glucose,Unfiltered Cyano 4,0.243,,0.217,0.202,0.205,0.22,0.27,0.305,0.202,0.202,0.189,0.197,0.203,0.207
No Glucose,Filtered Cyano 2,0.042,,0.041,0.042,0.115,0.119,0.151,0.164,0.108,0.111,0.105,0.101,0.108,0.113
No Glucose,Filtered Cyano 3,0.04,,0.042,0.042,0.044,0.064,0.171,0.177,0.12,0.123,0.1,0.11,0.097,0.098
No Glucose,Filtered Cyano 4,,,0.046,0.046,0.066,0.068,0.107,0.112,0.11,0.111,0.087,0.091,0.092,0.094
No Glucose,Filtered Cyano 5,,,0.096,0.109,0.088,0.071,0.058,0.076,0.049,0.058,0.04,0.036,0.052,0.05
No Glucose,Filtered Cyano 6,,,0.049,0.049,0.065,0.071,0.08,0.088,0.095,0.106,0.076,0.077,0.086,0.087
No Glucose,No Cyano 5,,,0.053,0.054,0.055,0.057,0.097,0.098,0.106,0.116,0.094,0.092,0.108,0.114
No Glucose,No Cyano 6,,,0.049,0.054,0.059,0.058,0.087,0.085,0.093,0.11,0.074,0.076,0.139,0.142
No Glucose,No Cyano 7,,,0.049,0.051,0.076,0.076,0.073,0.089,0.079,0.079,0.08,0.078,0.138,0.138
Regular HS,No Cyano 1,0.044,0.043,0.049,0.046,0.051,0.051,0.065,0.073,0.12,0.124,,,,
>Regular HS,Unfiltered Cyano 1,0.214,0.221,0.387,0.416,0.434,0.468,0.41,0.386,0.49,0.482,,,,
>Regular HS,Filtered Cyano 1,0.051,0.048,0.061,0.045,0.112,0.112,0.129,0.126,0.192,0.172,,,,
Regular HS,No Cyano 2,,,0.057,0.058,0.081,0.093,0.094,0.102,0.118,0.12,0.113,0.119,0.167,0.174
Regular HS,No Cyano 3,,,0.081,0.152,0.056,0.058,0.068,0.15,0.073,0.07,0.063,0.066,0.077,0.078
Regular HS,No Cyano 4,,,0.071,0.071,0.269,0.147,0.136,0.143,0.174,0.174,0.172,0.179,0.158,0.194
Regular HS,No Cyano 5,0.039,,0.045,0.049,0.059,0.062,0.081,0.083,0.109,0.11,0.195,0.196,0.266,0.27
Regular HS,No Cyano 6,0.044,,0.049,0.048,0.064,0.069,0.085,0.086,0.089,0.088,0.136,0.144,0.201,0.206
Regular HS,No Cyano 7,0.041,,0.051,0.05,0.073,0.086,0.137,0.095,0.084,0.099,0.125,0.13,0.177,0.187
>Regular HS,Unfiltered Cyano 2,0.167,,0.274,0.299,0.348,0.413,0.452,0.446,0.266,0.305,0.295,0.372,0.412,0.329
>Regular HS,Unfiltered Cyano 3,0.299,,0.225,0.223,0.269,0.303,0.535,0.529,0.222,0.267,0.311,0.336,0.328,0.324
>Regular HS,Unfiltered Cyano 4,0.277,,0.228,0.275,0.657,0.653,0.766,0.794,0.583,0.59,0.472,0.464,0.573,0.57
>Regular HS,Filtered Cyano 2,0.043,,0.042,0.043,0.043,0.045,0.041,0.043,0.045,0.046,0.043,0.044,0.066,0.065
>Regular HS,Filtered Cyano 3,0.042,,0.043,0.043,0.043,0.043,0.081,0.083,0.058,0.059,0.217,0.236,0.277,0.285
>Regular HS,Filtered Cyano 4,0.042,,0.043,0.044,0.042,0.043,0.085,0.086,0.045,0.044,0.196,0.208,0.315,0.331
