Media,Sample,Time_Replicate,OD,Date,Technical_Replicate,Sample_Type,Combined_Group,Time_Since_Start_Days,X_Axis_Time_Days
Regular HS,No Cyano 1,5.7.25 Replicate #1,0.039,2025-05-07,1,No Cyano,Regular HS + No Cyano,0.0,1.0
Regular HS,No Cyano 2,5.7.25 Replicate #1,0.044,2025-05-07,1,No Cyano,Regular HS + No Cyano,0.0,1.0
Regular HS,No Cyano 3,5.7.25 Replicate #1,0.041,2025-05-07,1,No Cyano,Regular HS + No Cyano,0.0,1.0
Regular HS,Unfiltered Cyano 1,5.7.25 Replicate #1,0.167,2025-05-07,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,0.0,1.0
Regular HS,Unfiltered Cyano 2,5.7.25 Replicate #1,0.299,2025-05-07,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,0.0,1.0
Regular HS,Unfiltered Cyano 3,5.7.25 Replicate #1,0.277,2025-05-07,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,0.0,1.0
Regular HS,Filtered Cyano 1,5.7.25 Replicate #1,0.043,2025-05-07,1,Filtered Cyano,Regular HS + Filtered Cyano,0.0,1.0
Regular HS,Filtered Cyano 2,5.7.25 Replicate #1,0.042,2025-05-07,1,Filtered Cyano,Regular HS + Filtered Cyano,0.0,1.0
Regular HS,Filtered Cyano 3,5.7.25 Replicate #1,0.042,2025-05-07,1,Filtered Cyano,Regular HS + Filtered Cyano,0.0,1.0
No Glucose,No Cyano 1,5.7.25 Replicate #1,0.055,2025-05-07,1,No Cyano,No Glucose + No Cyano,0.0,1.0
No Glucose,No Cyano 2,5.7.25 Replicate #1,0.043,2025-05-07,1,No Cyano,No Glucose + No Cyano,0.0,1.0
No Glucose,No Cyano 3,5.7.25 Replicate #1,0.042,2025-05-07,1,No Cyano,No Glucose + No Cyano,0.0,1.0
No Glucose,Unfiltered Cyano 1,5.7.25 Replicate #1,0.291,2025-05-07,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,0.0,1.0
No Glucose,Unfiltered Cyano 2,5.7.25 Replicate #1,0.409,2025-05-07,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,0.0,1.0
No Glucose,Unfiltered Cyano 3,5.7.25 Replicate #1,0.243,2025-05-07,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,0.0,1.0
No Glucose,Filtered Cyano 1,5.7.25 Replicate #1,0.042,2025-05-07,1,Filtered Cyano,No Glucose + Filtered Cyano,0.0,1.0
No Glucose,Filtered Cyano 2,5.7.25 Replicate #1,0.04,2025-05-07,1,Filtered Cyano,No Glucose + Filtered Cyano,0.0,1.0
Regular HS,No Cyano 1,5.8.25 Replicate #1,0.045,2025-05-08,1,No Cyano,Regular HS + No Cyano,1.0,2.0
Regular HS,No Cyano 2,5.8.25 Replicate #1,0.049,2025-05-08,1,No Cyano,Regular HS + No Cyano,1.0,2.0
Regular HS,No Cyano 3,5.8.25 Replicate #1,0.051,2025-05-08,1,No Cyano,Regular HS + No Cyano,1.0,2.0
Regular HS,Unfiltered Cyano 1,5.8.25 Replicate #1,0.274,2025-05-08,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,1.0,2.0
Regular HS,Unfiltered Cyano 2,5.8.25 Replicate #1,0.225,2025-05-08,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,1.0,2.0
Regular HS,Unfiltered Cyano 3,5.8.25 Replicate #1,0.228,2025-05-08,1,Unfiltered Cyano,Regular HS + Unfiltered Cyano,1.0,2.0
Regular HS,Filtered Cyano 1,5.8.25 Replicate #1,0.042,2025-05-08,1,Filtered Cyano,Regular HS + Filtered Cyano,1.0,2.0
Regular HS,Filtered Cyano 2,5.8.25 Replicate #1,0.043,2025-05-08,1,Filtered Cyano,Regular HS + Filtered Cyano,1.0,2.0
Regular HS,Filtered Cyano 3,5.8.25 Replicate #1,0.043,2025-05-08,1,Filtered Cyano,Regular HS + Filtered Cyano,1.0,2.0
No Glucose,No Cyano 1,5.8.25 Replicate #1,0.041,2025-05-08,1,No Cyano,No Glucose + No Cyano,1.0,2.0
No Glucose,No Cyano 2,5.8.25 Replicate #1,0.04,2025-05-08,1,No Cyano,No Glucose + No Cyano,1.0,2.0
No Glucose,No Cyano 3,5.8.25 Replicate #1,0.04,2025-05-08,1,No Cyano,No Glucose + No Cyano,1.0,2.0
No Glucose,Unfiltered Cyano 1,5.8.25 Replicate #1,0.356,2025-05-08,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,1.0,2.0
No Glucose,Unfiltered Cyano 2,5.8.25 Replicate #1,0.318,2025-05-08,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,1.0,2.0
No Glucose,Unfiltered Cyano 3,5.8.25 Replicate #1,0.217,2025-05-08,1,Unfiltered Cyano,No Glucose + Unfiltered Cyano,1.0,2.0
No Glucose,Filtered Cyano 1,5.8.25 Replicate #1,0.041,2025-05-08,1,Filtered Cyano,No Glucose + Filtered Cyano,1.0,2.0
No Glucose,Filtered Cyano 2,5.8.25 Replicate #1,0.042,2025-05-08,1,Filtered Cyano,No Glucose + Filtered Cyano,1.0,2.0
Regular HS,No Cyano 1,5.8.25 Replicate #2,0.049,2025-05-08,2,No Cyano,Regular HS + No Cyano,1.0,2.0
Regular HS,No Cyano 2,5.8.25 Replicate #2,0.048,2025-05-08,2,No Cyano,Regular HS + No Cyano,1.0,2.0
Regular HS,No Cyano 3,5.8.25 Replicate #2,0.05,2025-05-08,2,No Cyano,Regular HS + No Cyano,1.0,2.0
Regular HS,Unfiltered Cyano 1,5.8.25 Replicate #2,0.299,2025-05-08,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,1.0,2.0
Regular HS,Unfiltered Cyano 2,5.8.25 Replicate #2,0.223,2025-05-08,2,Unfiltered Cyano,Regular HS + Unfiltered Cyano,1.0,2.0
