Media,Sample,Day_Replicate,OD,Day,Technical_Replicate,Sample_Type,Combined_Group,X_Axis_Time_Days
No Glucose,No Cyano 1,Day 0 Replicate #1,0.046,0,1,No Cyano,No Glucose + No Cyano,0
No Glucose,Filtered Cyano 1,Day 0 Replicate #1,0.043,0,1,Filtered Cyano,No Glucose + Filtered Cyano,0
No Glucose,No Cyano 2,Day 0 Replicate #1,0.055,0,1,No Cyano,No Glucose + No Cyano,0
No Glucose,No Cyano 3,Day 0 Replicate #1,0.043,0,1,No Cyano,No Glucose + No Cyano,0
No Glucose,No Cyano 4,Day 0 Replicate #1,0.042,0,1,No Cyano,No Glucose + No Cyano,0
No Glucose,Filtered Cyano 2,Day 0 Replicate #1,0.042,0,1,Filtered Cyano,No Glucose + Filtered Cyano,0
No Glucose,Filtered Cyano 3,Day 0 Replicate #1,0.04,0,1,Filtered Cyano,No Glucose + Filtered Cyano,0
Regular HS,No Cyano 1,Day 0 Replicate #1,0.044,0,1,No Cyano,Regular HS + No Cyano,0
Regular HS,No Cyano 5,Day 0 Replicate #1,0.039,0,1,No Cyano,Regular HS + No Cyano,0
Regular HS,No Cyano 6,Day 0 Replicate #1,0.044,0,1,No Cyano,Regular HS + No Cyano,0
Regular HS,No Cyano 7,Day 0 Replicate #1,0.041,0,1,No Cyano,Regular HS + No Cyano,0
No Glucose,No Cyano 1,Day 0 Replicate #2,0.042,0,2,No Cyano,No Glucose + No Cyano,0
No Glucose,Filtered Cyano 1,Day 0 Replicate #2,0.044,0,2,Filtered Cyano,No Glucose + Filtered Cyano,0
Regular HS,No Cyano 1,Day 0 Replicate #2,0.043,0,2,No Cyano,Regular HS + No Cyano,0
No Glucose,No Cyano 1,Day 1 Replicate #1,0.043,1,1,No Cyano,No Glucose + No Cyano,1
No Glucose,Filtered Cyano 1,Day 1 Replicate #1,0.044,1,1,Filtered Cyano,No Glucose + Filtered Cyano,1
No Glucose,No Cyano 2,Day 1 Replicate #1,0.041,1,1,No Cyano,No Glucose + No Cyano,1
No Glucose,No Cyano 3,Day 1 Replicate #1,0.04,1,1,No Cyano,No Glucose + No Cyano,1
No Glucose,No Cyano 4,Day 1 Replicate #1,0.04,1,1,No Cyano,No Glucose + No Cyano,1
