Media,Sample,Time_Replicate,OD,Date,Technical_Replicate,Sample_Type,Combined_Group,Time_Since_Start_Days,X_Axis_Time_Days
No Glucose,Filtered Cyano 1,5.14.25 Replicate #1,0.046,2025-05-14,1,Filtered Cyano,No Glucose + Filtered Cyano,0.0,0.0
No Glucose,Filtered Cyano 2,5.14.25 Replicate #1,0.096,2025-05-14,1,Filtered Cyano,No Glucose + Filtered Cyano,0.0,0.0
No Glucose,Filtered Cyano 3,5.14.25 Replicate #1,0.049,2025-05-14,1,Filtered Cyano,No Glucose + Filtered Cyano,0.0,0.0
No Glucose,No Cyano 1,5.14.25 Replicate #1,0.053,2025-05-14,1,No Cyano,No Glucose + No Cyano,0.0,0.0
No Glucose,No Cyano 2,5.14.25 Replicate #1,0.049,2025-05-14,1,No Cyano,No Glucose + No Cyano,0.0,0.0
No Glucose,Filtered Cyano 1,5.14.25 Replicate #2,0.046,2025-05-14,2,Filtered Cyano,No Glucose + Filtered Cyano,0.0,0.0
No Glucose,Filtered Cyano 2,5.14.25 Replicate #2,0.109,2025-05-14,2,Filtered Cyano,No Glucose + Filtered Cyano,0.0,0.0
No Glucose,Filtered Cyano 3,5.14.25 Replicate #2,0.049,2025-05-14,2,Filtered Cyano,No Glucose + Filtered Cyano,0.0,0.0
No Glucose,No Cyano 1,5.14.25 Replicate #2,0.054,2025-05-14,2,No Cyano,No Glucose + No Cyano,0.0,0.0
No Glucose,No Cyano 2,5.14.25 Replicate #2,0.054,2025-05-14,2,No Cyano,No Glucose + No Cyano,0.0,0.0
No Glucose,Filtered Cyano 1,5.15.25 Replicate #1,0.066,2025-05-15,1,Filtered Cyano,No Glucose + Filtered Cyano,1.0,1.0
No Glucose,Filtered Cyano 2,5.15.25 Replicate #1,0.088,2025-05-15,1,Filtered Cyano,No Glucose + Filtered Cyano,1.0,1.0
No Glucose,Filtered Cyano 3,5.15.25 Replicate #1,0.065,2025-05-15,1,Filtered Cyano,No Glucose + Filtered Cyano,1.0,1.0
No Glucose,No Cyano 1,5.15.25 Replicate #1,0.055,2025-05-15,1,No Cyano,No Glucose + No Cyano,1.0,1.0
No Glucose,No Cyano 2,5.15.25 Replicate #1,0.059,2025-05-15,1,No Cyano,No Glucose + No Cyano,1.0,1.0
No Glucose,Filtered Cyano 1,5.15.25 Replicate #2,0.068,2025-05-15,2,Filtered Cyano,No Glucose + Filtered Cyano,1.0,1.0
No Glucose,Filtered Cyano 2,5.15.25 Replicate #2,0.071,2025-05-15,2,Filtered Cyano,No Glucose + Filtered Cyano,1.0,1.0
No Glucose,Filtered Cyano 3,5.15.25 Replicate #2,0.071,2025-05-15,2,Filtered Cyano,No Glucose + Filtered Cyano,1.0,1.0
No Glucose,No Cyano 1,5.15.25 Replicate #2,0.057,2025-05-15,2,No Cyano,No Glucose + No Cyano,1.0,1.0
No Glucose,No Cyano 2,5.15.25 Replicate #2,0.058,2025-05-15,2,No Cyano,No Glucose + No Cyano,1.0,1.0
No Glucose,Filtered Cyano 1,5.16.25 Replicate #1,0.107,2025-05-16,1,Filtered Cyano,No Glucose + Filtered Cyano,2.0,2.0
No Glucose,Filtered Cyano 2,5.16.25 Replicate #1,0.058,2025-05-16,1,Filtered Cyano,No Glucose + Filtered Cyano,2.0,2.0
No Glucose,Filtered Cyano 3,5.16.25 Replicate #1,0.08,2025-05-16,1,Filtered Cyano,No Glucose + Filtered Cyano,2.0,2.0
No Glucose,No Cyano 1,5.16.25 Replicate #1,0.097,2025-05-16,1,No Cyano,No Glucose + No Cyano,2.0,2.0
No Glucose,No Cyano 2,5.16.25 Replicate #1,0.087,2025-05-16,1,No Cyano,No Glucose + No Cyano,2.0,2.0
No Glucose,Filtered Cyano 1,5.16.25 Replicate #2,0.112,2025-05-16,2,Filtered Cyano,No Glucose + Filtered Cyano,2.0,2.0
No Glucose,Filtered Cyano 2,5.16.25 Replicate #2,0.076,2025-05-16,2,Filtered Cyano,No Glucose + Filtered Cyano,2.0,2.0
No Glucose,Filtered Cyano 3,5.16.25 Replicate #2,0.088,2025-05-16,2,Filtered Cyano,No Glucose + Filtered Cyano,2.0,2.0
