Sample,Media,Sample_Type,X_Axis_Time_Days,OD_mean,OD_std,OD_count
Filtered Cyano 1,No Glucose,Filtered Cyano,0,0.0435,0.0007071067811865482,2
Filtered Cyano 1,No Glucose,Filtered Cyano,1,0.0435,0.0007071067811865482,2
Filtered Cyano 1,No Glucose,Filtered Cyano,2,0.0435,0.0007071067811865482,2
Filtered Cyano 1,No Glucose,Filtered Cyano,3,0.16249999999999998,0.020506096654409868,2
Filtered Cyano 1,No Glucose,Filtered Cyano,4,0.216,0.02687005768508879,2
Filtered Cyano 2,No Glucose,Filtered Cyano,0,0.042,0.0,1
Filtered Cyano 2,No Glucose,Filtered Cyano,1,0.0415,0.0007071067811865482,2
Filtered Cyano 2,No Glucose,Filtered Cyano,2,0.11699999999999999,0.0028284271247461874,2
Filtered Cyano 2,No Glucose,Filtered Cyano,3,0.1575,0.009192388155425127,2
Filtered Cyano 2,No Glucose,Filtered Cyano,4,0.1095,0.0021213203435596446,2
Filtered Cyano 2,No Glucose,Filtered Cyano,5,0.10300000000000001,0.0028284271247461874,2
Filtered Cyano 2,No Glucose,Filtered Cyano,6,0.1105,0.0035355339059327407,2
Filtered Cyano 3,No Glucose,Filtered Cyano,0,0.04,0.0,1
Filtered Cyano 3,No Glucose,Filtered Cyano,1,0.042,0.0,2
Filtered Cyano 3,No Glucose,Filtered Cyano,2,0.054,0.014142135623730954,2
Filtered Cyano 3,No Glucose,Filtered Cyano,3,0.174,0.004242640687119279,2
Filtered Cyano 3,No Glucose,Filtered Cyano,4,0.1215,0.0021213203435596446,2
Filtered Cyano 3,No Glucose,Filtered Cyano,5,0.10500000000000001,0.007071067811865467,2
Filtered Cyano 3,No Glucose,Filtered Cyano,6,0.0975,0.0007071067811865482,2
Filtered Cyano 4,No Glucose,Filtered Cyano,1,0.046,0.0,2
Filtered Cyano 4,No Glucose,Filtered Cyano,2,0.067,0.0014142135623730963,2
Filtered Cyano 4,No Glucose,Filtered Cyano,3,0.1095,0.0035355339059327407,2
Filtered Cyano 4,No Glucose,Filtered Cyano,4,0.1105,0.0007071067811865482,2
Filtered Cyano 4,No Glucose,Filtered Cyano,5,0.089,0.0028284271247461927,2
Filtered Cyano 4,No Glucose,Filtered Cyano,6,0.093,0.0014142135623730963,2
Filtered Cyano 5,No Glucose,Filtered Cyano,1,0.10250000000000001,0.009192388155425111,2
Filtered Cyano 5,No Glucose,Filtered Cyano,2,0.07949999999999999,0.012020815280171303,2
Filtered Cyano 5,No Glucose,Filtered Cyano,3,0.067,0.012727922061357849,2
Filtered Cyano 5,No Glucose,Filtered Cyano,4,0.053500000000000006,0.006363961030678926,2
Filtered Cyano 5,No Glucose,Filtered Cyano,5,0.038,0.0028284271247461927,2
